Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,806,61295
,,,,,,,,807,61145
,,,,,,,,808,62288
,,,,,,,,809,64246
,,,,,,,,810,64773
,,,,,,,,811,64673
,,,,,,,,812,63647
,,,,,,,,813,61291
,,,,,,,,814,58393
,,,,,,,,815,51900
,,,,,,,,816,44979
,,,,,,,,817,38748
,,,,,,,,818,30581
,,,,,,,,819,28155
,,,,,,,,820,32686
,,,,,,,,821,39058
,,,,,,,,822,45977
,,,,,,,,823,47282
,,,,,,,,824,55453
,,,,,,,,825,60933
,,,,,,,,826,61297
,,,,,,,,827,60919
,,,,,,,,828,59985
,,,,,,,,829,58966
,,,,,,,,830,58233
,,,,,,,,831,58170
,,,,,,,,832,59224
,,,,,,,,833,61258
,,,,,,,,834,62103
,,,,,,,,835,62185
,,,,,,,,836,61307
,,,,,,,,837,59235
,,,,,,,,838,56552
,,,,,,,,839,53060
,,,,,,,,840,48452
,,,,,,,,841,44305
,,,,,,,,842,40023
,,,,,,,,843,37913
,,,,,,,,844,39473
,,,,,,,,845,41557
,,,,,,,,846,44516
,,,,,,,,847,50723
,,,,,,,,848,56984
,,,,,,,,849,59526
,,,,,,,,850,59913
,,,,,,,,851,59850
,,,,,,,,852,59401
,,,,,,,,853,58818
,,,,,,,,854,58370
,,,,,,,,855,58532
,,,,,,,,856,59848
,,,,,,,,857,61571
,,,,,,,,858,62112
,,,,,,,,859,62642
,,,,,,,,860,62116
,,,,,,,,861,61592
,,,,,,,,862,58910
,,,,,,,,863,55444
,,,,,,,,864,50746
,,,,,,,,865,46328
,,,,,,,,866,41895
,,,,,,,,867,40924
,,,,,,,,868,48358
,,,,,,,,869,55408
,,,,,,,,870,62389
,,,,,,,,871,66235
,,,,,,,,872,67900
,,,,,,,,873,68005
,,,,,,,,874,66931
,,,,,,,,875,65685
,,,,,,,,876,64511
,,,,,,,,877,63435
,,,,,,,,878,62468
,,,,,,,,879,62290
,,,,,,,,880,63619
,,,,,,,,881,66518
,,,,,,,,882,68626
,,,,,,,,883,68959
,,,,,,,,884,67629
,,,,,,,,885,64694
,,,,,,,,886,60882
,,,,,,,,887,56760
,,,,,,,,888,51085
,,,,,,,,889,43824
,,,,,,,,890,39088
,,,,,,,,891,34723
,,,,,,,,892,29065
,,,,,,,,893,36425
,,,,,,,,894,45392
,,,,,,,,895,53587
,,,,,,,,896,62661
,,,,,,,,897,67168
,,,,,,,,898,66113
,,,,,,,,899,65046
,,,,,,,,900,64080
,,,,,,,,901,63271
,,,,,,,,902,62632
,,,,,,,,903,62901
,,,,,,,,904,64282
,,,,,,,,905,67123
,,,,,,,,906,68783
,,,,,,,,907,69082
,,,,,,,,908,67765
,,,,,,,,909,64780
,,,,,,,,910,61084
,,,,,,,,911,55805
,,,,,,,,912,49902
,,,,,,,,913,44148
,,,,,,,,914,42025
,,,,,,,,915,46355
,,,,,,,,916,50348
,,,,,,,,917,56789
,,,,,,,,918,63368
,,,,,,,,919,65944
,,,,,,,,920,67099
,,,,,,,,921,68192
,,,,,,,,922,67496
,,,,,,,,923,66680
,,,,,,,,924,66068
,,,,,,,,925,65491
,,,,,,,,926,65020
,,,,,,,,927,65270
,,,,,,,,928,66561
,,,,,,,,929,69022
,,,,,,,,930,70600
,,,,,,,,931,70705
,,,,,,,,932,69522
,,,,,,,,933,66388
,,,,,,,,934,62561
,,,,,,,,935,54921
,,,,,,,,936,47160
,,,,,,,,937,39489
,,,,,,,,938,37618
,,,,,,,,939,31133
,,,,,,,,940,31549
,,,,,,,,941,38118
,,,,,,,,942,46057
,,,,,,,,943,53678
,,,,,,,,944,62829
,,,,,,,,945,68720
,,,,,,,,946,67404
,,,,,,,,947,66045
,,,,,,,,948,64974
,,,,,,,,949,64051
,,,,,,,,950,63312
,,,,,,,,951,63495
,,,,,,,,952,65113
,,,,,,,,953,68204
,,,,,,,,954,70129
,,,,,,,,955,70429
,,,,,,,,956,69289
,,,,,,,,957,66252
,,,,,,,,958,62552
,,,,,,,,959,56722
,,,,,,,,960,51201
,,,,,,,,961,38399
,,,,,,,,962,27543
,,,,,,,,963,26774
,,,,,,,,964,27911
,,,,,,,,965,34769
,,,,,,,,966,43603
,,,,,,,,967,53265
,,,,,,,,968,64253
,,,,,,,,969,68672
,,,,,,,,970,67994
,,,,,,,,971,67121
,,,,,,,,972,66370
,,,,,,,,973,65686
,,,,,,,,974,65194
,,,,,,,,975,65333
,,,,,,,,976,66487
,,,,,,,,977,68079
,,,,,,,,978,68864
,,,,,,,,979,68711
,,,,,,,,980,67597
,,,,,,,,981,65447
,,,,,,,,982,62542
,,,,,,,,983,58878
,,,,,,,,984,53837
,,,,,,,,985,48342
,,,,,,,,986,41468
,,,,,,,,987,39238
,,,,,,,,988,40952
,,,,,,,,989,48108
,,,,,,,,990,54988
,,,,,,,,991,61791
,,,,,,,,992,66171
,,,,,,,,993,68104
,,,,,,,,994,67925
,,,,,,,,995,67130
,,,,,,,,996,65861
,,,,,,,,997,64587
,,,,,,,,998,63715
,,,,,,,,999,63780
,,,,,,,,1000,65373
,,,,,,,,1001,68722
,,,,,,,,1002,71191
,,,,,,,,1003,72059
,,,,,,,,1004,71799
,,,,,,,,1005,70253
,,,,,,,,1006,68050
,,,,,,,,1007,64923
,,,,,,,,1008,59606
,,,,,,,,1009,52896
,,,,,,,,1010,44678
,,,,,,,,1011,41050
,,,,,,,,1012,41999
,,,,,,,,1013,42725
,,,,,,,,1014,48006
,,,,,,,,1015,59046
,,,,,,,,1016,68889
,,,,,,,,1017,70377
,,,,,,,,1018,69047
,,,,,,,,1019,67472
,,,,,,,,1020,65813
,,,,,,,,1021,64274
,,,,,,,,1022,63120
,,,,,,,,1023,63123
,,,,,,,,1024,65120
