,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t250,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9898.02772831499,0.0,0.0,-16971.46208
t251,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9783.976268314987,0.0,0.0,-16857.41062
t252,7073.434351685012,0.0,-0.0,0.0,-0.0,1251.9398730000003,8367.15741531499,0.0,0.0,-16692.53164
t253,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9453.09682831499,0.0,0.0,-16526.53118
t254,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9348.19552831499,0.0,0.0,-16421.62988
t255,7073.434351685012,0.0,-0.0,0.0,-0.0,1222.2812774999998,8001.368070814985,0.0,0.0,-16297.083699999997
t256,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9138.294858314985,0.0,0.0,-16211.729209999998
t257,7073.434351685012,0.0,-0.0,0.0,-0.0,1236.228678,8173.386010314989,0.0,0.0,-16483.04904
t258,7073.434351685012,0.0,-0.0,0.0,-0.0,1358.2820159999997,9678.710512314985,0.0,0.0,-18110.42688
t259,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,11348.834018314988,0.0,0.0,-18422.26837
t260,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,10981.733068314988,0.0,0.0,-18055.16742
t261,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,10469.474848314985,0.0,0.0,-17542.9092
t262,7073.434351685012,0.0,-0.0,0.0,-0.0,1251.0999967499997,8356.798941564986,0.0,0.0,-16681.33329
t263,7073.434351685012,0.0,-0.0,0.0,-0.0,1158.5449305,7215.286457814988,0.0,0.0,-15447.26574
t264,7073.434351685012,0.0,-0.0,0.0,-0.0,1066.5692760000002,6080.9200523149875,0.0,0.0,-14220.92368
t265,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,6274.980928314987,0.0,0.0,-13348.41528
t266,7073.434351685012,0.0,-0.0,0.0,-0.0,963.7065044999999,4812.279203814987,0.0,0.0,-12849.42006
t267,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5510.847468314987,0.0,0.0,-12584.28182
t268,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,5515.588858314986,0.0,0.0,-12589.02321
t269,7073.434351685012,0.0,-0.0,0.0,-0.0,969.5473559999999,4884.316372314988,0.0,0.0,-12927.29808
t270,7073.434351685012,0.0,-0.0,0.0,-0.0,1039.289364,5744.467804314988,0.0,0.0,-13857.19152
t271,7073.434351685012,0.0,-0.0,0.0,-0.0,1164.337671,7286.730257314987,0.0,0.0,-15524.50228
t272,7073.434351685012,0.0,-0.0,0.0,-0.0,1226.2344022500001,8050.123276064987,0.0,0.0,-16349.79203
t273,7073.434351685012,0.0,-0.0,0.0,-0.0,1240.1467590000002,8221.70900931499,0.0,0.0,-16535.29012
t274,7073.434351685012,0.0,-0.0,0.0,-0.0,1246.8391492500002,8304.248489064988,0.0,0.0,-16624.52199
t275,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9620.518748314986,0.0,0.0,-16693.9531
t276,7073.434351685012,0.0,-0.0,0.0,-0.0,0.0,9567.777358314988,0.0,0.0,-16641.21171
