,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t208,78203.02044704268,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-66670
t209,72812.77820481996,0.0,-3951.8308473478683,0,-0.0,0.0,0.0,0,0,-69152
t210,71024.37548707052,0.0,-1344.4281295984147,0,-0.0,0.0,0.0,0,0,-69971
t211,63847.295700980925,4252.441086379531,-0.0,0,-0.0,0.0,0.0,0,0,-69555
t212,54123.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-67403
t213,50905.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-64185
t214,49466.68423859378,9342.052548766664,-0.0,0,-0.0,0.0,0.0,0,0,-60264
t215,50689.3958235726,2494.340963787843,-0.0,0,-0.0,0.0,0.0,0,0,-54639
t216,40655.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-40947
t217,39263.58763205066,0.0,-8161.640274578571,0,-0.0,0.0,0.0,0,0,-31393
t218,37535.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-26002
t219,35875.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-24342
t220,38503.48862385766,0.0,-11569.541266385571,0,-0.0,0.0,0.0,0,0,-27225
t221,38446.848344922546,0.0,-3568.900987450448,0,-0.0,0.0,0.0,0,0,-35169
t222,43342.17702566017,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44592
t223,48709.48513763806,3308.251649722377,-0.0,0,-0.0,0.0,0.0,0,0,-53473
t224,50313.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-63593
t225,53520.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66800
t226,52745.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66025
t227,62662.22692771935,956.5098596410899,-0.0,0,-0.0,0.0,0.0,0,0,-65074
t228,63904.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64196
t229,70276.8336163127,0.0,-7079.886258840616,0,-0.0,0.0,0.0,0,0,-63488
t230,74414.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-62881
t231,74809.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-63276
t232,75522.29139277776,0.0,-10440.344035305654,0,-0.0,0.0,0.0,0,0,-65373
t233,73391.79959174043,0.0,-5779.852234268326,0,-0.0,0.0,0.0,0,0,-67903
t234,68705.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-68997
t235,65940.64618569012,1660.0906016703084,-0.0,0,-0.0,0.0,0.0,0,0,-69056
t236,54163.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-67443
t237,50850.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-64130
t238,47116.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-60396
t239,50564.065879667294,2604.6709076931584,-0.0,0,-0.0,0.0,0.0,0,0,-54624
t240,40913.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-41205
t241,38536.46311482355,0.0,-6834.5157573514625,0,-0.0,0.0,0.0,0,0,-31993
t242,38384.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-26851
t243,36849.020447042654,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-25316
t244,39321.10144012365,0.0,-11709.15408265157,0,-0.0,0.0,0.0,0,0,-27903
t245,39768.36004588366,0.0,-4756.412688411567,0,-0.0,0.0,0.0,0,0,-35303
t246,44856.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-45148
t247,50972.448849221655,1922.287938138783,-0.0,0,-0.0,0.0,0.0,0,0,-54350
t248,51164.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-64444
t249,53975.66369778988,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-67255
t250,53217.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66497
t251,61888.26321613576,2342.473571224684,-0.0,0,-0.0,0.0,0.0,0,0,-65686
t252,64549.94735747212,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64841
t253,69031.13476013708,0.0,-5183.187402664995,0,-0.0,0.0,0.0,0,0,-64139
t254,74170.11038086539,0.0,-10765.16302339331,0,-0.0,0.0,0.0,0,0,-63696
t255,75663.50987644082,0.0,-11720.56251896872,0,-0.0,0.0,0.0,0,0,-64234
t256,77572.8968192822,0.0,-11749.949461810123,0,-0.0,0.0,0.0,0,0,-66114
t257,75001.15217251249,0.0,-7091.204815040404,0,-0.0,0.0,0.0,0,0,-68201
t258,69313.10884315024,0.0,-438.1614856781889,0,-0.0,0.0,0.0,0,0,-69166
t259,68203.40926770798,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69238
t260,56377.43049336409,10992.516864108013,-0.0,0,-0.0,0.0,0.0,0,0,-67661
t261,51294.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-64574
t262,49278.355860875294,11261.591496596808,-0.0,0,-0.0,0.0,0.0,0,0,-60831
t263,48199.49941888816,5658.799327799791,-0.0,0,-0.0,0.0,0.0,0,0,-55252
t264,42351.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-42643
t265,41875.798343390656,0.0,-8272.850985918569,0,-0.0,0.0,0.0,0,0,-33894
t266,40697.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-29164
t267,39315.02044704266,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-27782
t268,41370.25971407966,0.0,-11157.31235660757,0,-0.0,0.0,0.0,0,0,-30504
t269,41538.86654336054,0.0,-3869.9191858884587,0,-0.0,0.0,0.0,0,0,-37960
t270,47252.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-47544
t271,53897.27245685303,1060.464330507406,-0.0,0,-0.0,0.0,0.0,0,0,-56413
t272,53022.66369778987,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66302
t273,56636.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-69916
t274,56419.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-69699
t275,64417.43960850439,3204.297178856061,-0.0,0,-0.0,0.0,0.0,0,0,-69077
t276,69449.68698648228,0.0,-1318.7396290101767,0,-0.0,0.0,0.0,0,0,-68422
t277,74452.95285572753,0.0,-6931.005498255447,0,-0.0,0.0,0.0,0,0,-67813
t278,78939.0204470427,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-67406
t279,79474.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-67941
t280,79179.16393419006,0.0,-9385.216576717969,0,-0.0,0.0,0.0,0,0,-70085
t281,78059.0681819031,0.0,-5665.120824431011,0,-0.0,0.0,0.0,0,0,-72685
t282,73816.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-74108
t283,72907.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-74363
t284,59650.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-72930
t285,56710.663697789874,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-69990
t286,53191.66369778988,11824.073089570571,-0.0,0,-0.0,0.0,0.0,0,0,-66471
t287,55008.975277996986,4264.761509363468,-0.0,0,-0.0,0.0,0.0,0,0,-60729
t288,46449.736787360445,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-47905
t289,45367.558662574294,0.0,-7301.961485535254,0,-0.0,0.0,0.0,0,0,-38826
t290,45329.5781690663,0.0,-11796.630811594208,0,-0.0,0.0,0.0,0,0,-33824
