,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t6740,18585.516737584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-18242.95369
t6741,17498.404556524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17788.34992
t6742,16776.8208,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16776.8208
t6743,15402.92794,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15402.92794
t6744,14127.19949,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14127.19949
t6745,13494.92183,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13494.92183
t6746,13382.07711758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13039.51407
t6747,12505.856366524555,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12795.80173
t6748,12760.876281094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-12731.08819
t6749,13187.61047758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12845.04743
t6750,13359.970366222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13675.12837
t6751,14978.76208,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14978.76208
t6752,15945.754451094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-15915.96636
t6753,16972.355467584406,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16629.79242
t6754,17314.91771,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17314.91771
t6755,17555.008846222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17870.16685
t6756,18630.963827584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-18288.40078
t6757,18571.46957821998,143.37777468220963,-199.18527290220018,0.0,-0.0,0.0,0.0,0.0,0.0,-18515.66208
t6758,18769.593569999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18769.59357
t6759,18702.32133622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19017.47934
t6760,19077.5704,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19077.5704
t6761,19042.929139999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19042.92914
t6762,18843.00771129378,0.0,-69.89462129377934,0.0,-0.0,0.0,0.0,0.0,0.0,-18773.11309
t6763,19250.16720584173,18.38505587134004,-324.1779917130698,0.0,-0.0,0.0,0.0,0.0,0.0,-18944.37427
t6764,19268.389316222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19583.54732
t6765,18950.75927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18950.75927
t6766,17758.644529999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17758.64453
t6767,16205.59522,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16205.59522
t6768,15094.082157584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14751.51911
t6769,13669.363126524555,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13959.30849
t6770,13458.21917,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13458.21917
t6771,13081.57628,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13081.57628
t6772,12984.31932,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12984.31932
t6773,13461.84265,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13461.84265
t6774,14040.93394,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14040.93394
t6775,15466.82677,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15466.82677
t6776,16175.550180000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16175.550180000002
t6777,17065.477877584406,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16722.91483
t6778,17276.033889999995,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17276.03389
t6779,17809.420509999996,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17809.42051
t6780,18137.18675109429,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-18107.39866
t6781,18133.951929999996,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18133.95193
t6782,18285.64901,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18285.64901
t6783,18030.714496222346,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18345.8725
t6784,18348.201879999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18348.20188
t6785,18510.06682758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-18167.50378
